issue_place_raw,n_charters
S. Pietro i Rom.,1
S. Pietro in Rom,1
Sagard,1
Saint-Quentin,1
Saint-Thierry,1
Sakristiet i Lund domkirke,1
Sakristiet i Roskilde domkirke,1
Sakristiet i domkirken i Hamburg,1
Sallingsyssels ting,1
Salzwedel,1
Samsø landsting,1
San Felìz de Torío,1
San Pietro i Rom,1
Sandnäs,1
Sandvig,1
Sankt Barbaras kapel i Ribe domkirke,1
Sankt Godehards våbenhus i Lund,1
Sankt Marthas kapel i Lund,1
Sankt Marthas kapel i Lunds domkirke,1
Sankt Mikkels kirke i Slagelse,1
Sankt Nikolaj kirke i Wyk på Før,1
Sarstedt,1
Satserup,1
Schaacken,1
Schaaken,1
Schauenburg slot,1
Schintau,1
Schivelbein,1
Schlettstadt,1
Schlochau,1
Schwisow,1
Schönbeck,1
Segeberg slot,1
Sejlstrup,1
Selsø,1
Sengeløse,1
Sikois,1
Sild,1
Silverstone,1
Sjællands landsting i Ringsted,1
Sjötorp,1
Sjørup,1
Skara 25,1
Skatelöv,1
Skedala,1
Skepparslöv,1
Skillinge,1
Skjoldenæsholm,1
Sklandethorp,1
Skodborg herredsting,1
Skovkloster,1
Skullerup,1
Skælskør byting,1
Slesvig domkirke,1
Slesvig domkirkes kor,1
Slidre,1
Slite,1
Slottet Compiègne,1
Slottet i Verberie,1
Smedby,1
Smidstrup,1
Snøde kirke,1
Sognekirken i Rendsborg,1
Soldin,1
Sopron,1
Sorø kloster,1
Sparresholm,1
St. Laurentii kloster. Lund,1
St. Peders kirke i Lübeck,1
St.-Germain-en-Laie,1
Sta. Maria in Trastevere i Rom,1
Stargard i Pommern,1
Stavelot,1
Stavelot. Kapitelsalen,1
Stegeby,1
Stegeholm,1
Stehag,1
Steinhagen,1
Stenløse,1
Stensby,1
Stockholm el. Helsingborg,1
Stockholm franciskanerkloster,1
Stockholms slot,1
Stokkebro,1
Stokkemark,1
Stolpe,1
"Stralsund, franciskanernes refektorium",1
Stralsund],1
Strassburg,1
Strukstrup herredsting,1
Stubbarp,1
Stubber kloster,1
Støvring herredsting,1
Sulzbach,1
Svansryd,1
Svenstrup,1
Säckestad,1
Såderköping,1
Söderby,1
Søholm,1
Søllested,1
Sønder Gøs herredsting,1
Sønderherreds ting på Mors,1
Søndernæs,1
Tamdrup,1
Tarquinia,1
Teje,1
Tempzin,1
Thorp,1
Thorun,1
Thysyssel bygdeting,1
Thørkelstorp,1
Ting-Jellinge,1
Tingsted,1
Tirsted,1
Tirsted kirke,1
Tjurholmen,1
Tjærebylund,1
Toftnäs,1
Tommarp kloster,1
Torp,1
Torup,1
Toscanella,1
Tosterup,1
Toulouse,1
Trappensee,1
Treiden,1
