navn,name_base,art,layers,n_units,n_versions,earliest_fra,latest_til,ambiguous,spread_km,lat,lon,candidates
Tjæreby Ejerlav,Tjæreby,Ejerlav,Ejerlav,7,14,1000-01-01,9999-12-31,yes,69.39,,,"125384@55.3614,11.2228 | 124268@55.9351,12.2295 | 127330@54.7302,11.9372 | 125088@55.3554,11.9597 | 125236@55.2421,11.3539 | 123954@55.5987,12.1132 | 127372@54.7336,11.9188"
Tjæreby Sogn,Tjæreby,Sogn,Sogn,2,20,1000-01-01,9999-12-31,yes,47.35,,,"114867@55.9311,12.2242 | 114868@55.2334,11.3597"
Tjæreby Sognekommune,Tjæreby,Sognekommune,Sognekommune,1,6,1842-01-01,1966-04-01,no,0.0,55.233386,11.359699,
Tjæreby Vejle Ejerlav,Tjæreby Vejle,Ejerlav,Ejerlav,3,3,1880-01-01,9999-12-31,no,0.87,55.374177,11.223571,
Tjæreby-Alsønderup Pastorat,Tjæreby-Alsønderup,Pastorat,Pastorat,1,3,1854-07-02,1924-07-01,no,0.0,55.950641,12.225412,
Tjørnebjerg Ejerlav,Tjørnebjerg,Ejerlav,Ejerlav,1,3,1000-01-01,9999-12-31,no,0.0,54.702197,11.270477,
Tjørneby Ejerlav,Tjørneby,Ejerlav,Ejerlav,1,2,1000-01-01,9999-12-31,no,0.0,54.937156,11.163574,
Tjørnede Ejerlav,Tjørnede,Ejerlav,Ejerlav,1,2,1000-01-01,9999-12-31,no,0.0,55.620301,11.715001,
Tjørnehoved Ejerlav,Tjørnehoved,Ejerlav,Ejerlav,1,2,1000-01-01,9999-12-31,no,0.0,55.088515,12.085038,
Tjørnelunde Ejerlav,Tjørnelunde,Ejerlav,Ejerlav,1,1,1000-01-01,9999-12-31,no,0.0,55.511027,11.347545,
Tjørnemarke Ejerlav,Tjørnemarke,Ejerlav,Ejerlav,1,1,1000-01-01,9999-12-31,no,0.0,54.966557,12.228598,
Tjørntved Ejerlav,Tjørntved,Ejerlav,Ejerlav,1,1,1000-01-01,9999-12-31,no,0.0,55.535257,11.570577,
Tjørring Ejerlav,Tjørring,Ejerlav,Ejerlav,1,2,1000-01-01,9999-12-31,no,0.0,56.166471,8.930229,
Tjørring Pastorat,Tjørring,Pastorat,Pastorat,1,3,1971-07-02,9999-12-31,no,0.0,56.180149,8.92491,
Tjørring Sogn,Tjørring,Sogn,Sogn,1,3,1000-01-01,9999-12-31,no,0.0,56.180149,8.92491,
Tjørring Sognekommune,Tjørring,Sognekommune,Sognekommune,1,1,1921-04-01,1964-04-01,no,0.0,56.18019,8.924814,
Tobberup Ejerlav,Tobberup,Ejerlav,Ejerlav,1,2,1000-01-01,9999-12-31,no,0.0,56.669501,9.789469,
Tobo Ejerlav,Tobo,Ejerlav,Ejerlav,1,1,1000-01-01,9999-12-31,no,0.0,55.352733,10.206309,
Tobøl Ejerlav,Tobøl,Ejerlav,Ejerlav,2,4,1000-01-01,9999-12-31,no,17.5,55.477104,8.638707,
