toraid;tora_prefLabel;tora_altLabel;parish;hundred;tora_province;note;tora_note;tora_sweref99_n;tora_sweref99_e;tora_wgs84_lat;tora_wgs84_long;tora_coordinate_accuracy;tora_source;tora_source_url;toraid_url
4722;Stråken;;Kristberg;Bobergs h:d;Östergötland;Endast information från D8 är registrerad;;6497688.3487;512512.0638;58.6194;15.2154;high;D8:74-75, Norrby:74;https://sok.riksarkivet.se/bildvisning/R0000165_00049, https://sok.riksarkivet.se/bildvisning/R0000509_00038;https://sok.riksarkivet.se/topografi/4722
4723;Bastebol;;Kristberg;Bobergs h:d;Östergötland;;;6503202.2740;510788.2248;58.6689;15.186;high;D3:239;https://sok.riksarkivet.se/bildvisning/R0000160_00167;https://sok.riksarkivet.se/topografi/4723
4724;Vassholma;;Kristberg;Bobergs h:d;Östergötland;;;6503222.5660;511378.3954;58.6691;15.1962;high;D3:239;https://sok.riksarkivet.se/bildvisning/R0000160_00167;https://sok.riksarkivet.se/topografi/4724
4725;Lilla Boda;;Kristberg;Bobergs h:d;Östergötland;;;6501734.9997;511090.2177;58.6557;15.1911;high;D3:239;https://sok.riksarkivet.se/bildvisning/R0000160_00167;https://sok.riksarkivet.se/topografi/4725
4726;Brohemmet;;Brunneby;Bobergs h:d;Östergötland;Endast information från D8 är registrerad.;På HK utan bebyggelse;6490966.7296;516325.3572;58.5589;15.2806;high;D8:135-136, Norrby:13;https://sok.riksarkivet.se/bildvisning/R0000165_00078, https://sok.riksarkivet.se/bildvisning/R0000509_00008;https://sok.riksarkivet.se/topografi/4726
4727;Pattviken;Lilla Pattvik;Brunneby;Bobergs h:d;Östergötland;Endast information från D8 är registrerad;;6489452.4052;515934.2874;58.5453;15.2737;high;D8:125, Norrby:15;https://sok.riksarkivet.se/bildvisning/R0000165_00073, https://sok.riksarkivet.se/bildvisning/R0000509_00009;https://sok.riksarkivet.se/topografi/4727
4728;Sörby;Söderby;Brunneby;Bobergs h:d;Östergötland;Endast information från D8 är registrerad;;6488422.7004;519680.5428;58.5359;15.338;high;D8:129, Norrby:17;https://sok.riksarkivet.se/bildvisning/R0000165_00075, https://sok.riksarkivet.se/bildvisning/R0000509_00010;https://sok.riksarkivet.se/topografi/4728
4729;Bensätter;;Brunneby;Bobergs h:d;Östergötland;Endast information från D8 är registrerad. ;Beläget vid dagens Grönlund.;6489856.9025;517555.7047;58.5488;15.3016;high;Norrby:16, D8:133;https://sok.riksarkivet.se/bildvisning/R0000509_00010, https://sok.riksarkivet.se/bildvisning/R0000165_00077;https://sok.riksarkivet.se/topografi/4729
4730;Örbäck;;Brunneby;Bobergs h:d;Östergötland;Endast information från D8 är registrerad;;6487199.5507;519056.9211;58.5249;15.3272;high;D8:132, Norrby:18;https://sok.riksarkivet.se/bildvisning/R0000165_00077, https://sok.riksarkivet.se/bildvisning/R0000509_00011;https://sok.riksarkivet.se/topografi/4730
4731;Ruda;;Brunneby;Bobergs h:d;Östergötland;Endast information från D8 är registrerad;;6489170.4923;521206.9906;58.5425;15.3643;high;D8:137, Norrby:19;https://sok.riksarkivet.se/bildvisning/R0000165_00079, https://sok.riksarkivet.se/bildvisning/R0000509_00011;https://sok.riksarkivet.se/topografi/4731
4732;Prästängen;;Brunneby;Bobergs h:d;Östergötland;Äng till Norrby;Äng till Norrby, kartan över Norrby saknas (ÄGK);6489032.5795;518288.3961;58.5414;15.3142;middle;Norrby:5;https://sok.riksarkivet.se/bildvisning/R0000509_00006;https://sok.riksarkivet.se/topografi/4732
4733;Näs;;Brunneby;Bobergs h:d;Östergötland;Endast information från D8 är registrerad;Näs idag beläget strax s. (Näsbro öster) + N:14;6490656.2074;517984.9283;58.556;15.3091;high;D8:135-136, Norrby:8;https://sok.riksarkivet.se/bildvisning/R0000165_00078, https://sok.riksarkivet.se/bildvisning/R0000509_00008;https://sok.riksarkivet.se/topografi/4733
4734;Henfors;;Brunneby;Bobergs h:d;Östergötland;Endast information från D8 är registrerad. ;missing på TK, ej HK;6490902.2882;517649.8561;58.5582;15.3033;high;D8:135-136, Norrby:14;https://sok.riksarkivet.se/bildvisning/R0000165_00078, https://sok.riksarkivet.se/bildvisning/R0000509_00009;https://sok.riksarkivet.se/topografi/4734
